loc,lon,lat,rate
USA/MA1/2020,-71.0582912,42.3602534,31.5719747
USA/AK-PHL011/2020,17.7736243,62.9217072,14.77303182
USA/CT-Yale-375/2020,-75.662956,39.6159851,73.03342163
USA/AZ1/2020,-112.49123,33.34883,18.91615692
USA/WA1/2020,-121.7304882,48.0074736,21.7475619
USA/WA-S90/2020,-118.7671122,45.6416995,128.167121
Mexico/DUR-InDRE-09/2020,-98.3606472,20.0807903,134.990936
USA/IL-NM070/2020,-87.6244212,41.8755616,1
USA/IL-NM069/2020,-87.6244212,41.8755616,21.66851093
USA/PA-MGEL-00210/2020,-79.9760405,40.4597204,101.4094794
USA/SC-DHEC-0001/2020,-78.0395522,39.4535243,80.35893611
USA/TX-HMH-1164/2020,-95.3963667,29.939219,58.78366297
Panama/329593/2020,-79.87408972,8.98018465,121.1402054
Panama/333271/2020,-101.3656228,20.54810825,40.38006848
CostaRica/INC-0223/2021,-40.873577,-3.7357783,1
CostaRica/INC-0218/2021,-120.2422615,35.9776891,25.32468323
CostaRica/INC-0228/2021,-76.298009,40.1601526,1
Panama/334102/2020,-78.02332498,9.22237675,57.66023858
USA/MO-WUSTL037/2020,-90.24111656,38.6529545,50.5753325
Canada/ON-S1900/2020,-79.3839347,43.6534817,1
Canada/ON-SB-09/2020,-79.3839347,43.6534817,495.5372925
Canada/ON-SB-12/2020,-79.3839347,43.6534817,463.8468904
Canada/ON-SB-11/2020,-79.3839347,43.6534817,29.52489371
Canada/ON-LTRI-1352/2020,-79.3839347,43.6534817,37.19930035
Canada/ON-S2032/2020,-79.3839347,43.6534817,1
Canada/ON-S2177/2021,-79.3839347,43.6534817,1
USA/PA-MGEL137/2020,-79.9760405,40.4597204,24.43626294
Canada/ON-S2018/2020,-79.3839347,43.6534817,26.3413074
USA/NJ-MSHSPSP-PV12390/2020,-74.3045277,40.6652251,36.37899164
USA/WI-UW-3112/2021,-89.4322174,43.0709273,12.35424422
USA/NY-NYCPHL-001140/2020,-74.0060152,40.7127281,63.37796059
USA/WI-UW-1099/2020,-89.4322174,43.0709273,104.6206126
USA/NY-Wadsworth-222415-01/2020,-74.04453877,42.831851,53.89929647
USA/IA-GMF-16267/2020,-91.850265,42.8420766,10.09433939
USA/IA-GMF-18509/2020,-91.8563139,43.2677179,11.58326266
USA/MO-WUSTL036/2020,-90.24111656,38.6529545,24.94971517
USA/AK-PHL6643/2020,-149.680909,64.4459613,1
USA/NY-NYCPHL-001160/2020,-74.0060152,40.7127281,1
USA/NY-Wadsworth-10935-01/2020,-73.7907554,41.1763139,1
USA/NY-NYCPHL-000473/2020,-74.0060152,40.7127281,1
USA/OR-OHSU-0045/2020,-122.4006413,45.5093799,3.931725298
USA/CT-Yale-275/2020,-72.9330283,41.4082,26.19183697
USA/IL-IDPH-C-000411/2020,-89.3760499,38.0772859,33.29124543
Mexico/SON-InDRE-99/2020,-112.6080011,30.8974875,29.06455598
USA/CT-MSHSPSP-PV15299/2020,-72.9330283,41.4082,21.2083705
USA/NJ-MSHSPSP-PV21168/2020,-74.0550731,40.7381635,1
USA/CT-Yale-376/2020,-75.662956,39.6159851,46.77867977
USA/NJ-NYUMC452/2020,-74.0563254,40.9678345,1
USA/SC-DHEC-1118/2020,-79.3343041,33.4392245,25.22932309
USA/CT-Yale-393/2020,-73.2006687,41.2428742,1
USA/WI-GMF-07684/2020,-91.0902393,43.8890516,18.96936932
USA/IL-IDPH-I-000987/2020,-88.4605713,42.3294391,1
USA/OR-OHSU-0382/2020,-122.8575339,45.56614365,1
USA/OR-OHSU-0309/2020,-122.8575339,45.56614365,26.7954391
USA/OR-OHSU-0644/2020,-122.8575339,45.56614365,26.54503739
USA/IL-NM-1200/2020,-87.6244212,41.8755616,13.36048867
USA/PA-MGEL-00463/2020,-79.9760405,40.4597204,68.62834844
USA/NJ-MSHSPSP-PV17629/2020,-74.0563254,40.9678345,12.47738342
USA/LA-EVTL1842/2020,-93.8931785,32.529173,1
USA/IL-IDPH-I-000287/2020,-87.756525,41.8197385,1
USA/PA-MGEL-00473/2020,-79.9760405,40.4597204,25.69912911
USA/CA-CDPH026/2020,-119.7737991,37.1716264,59.48895359
USA/HI-H200151/2020,-157.960511,21.468151,33.82915728
USA/IA-GMF-02699/2020,-91.3961856,43.2961731,7.329199203
USA/IA-GMF-M00005/2020,-91.3961856,43.2961731,1
USA/TX-HMH-MCoV-8893/2020,-95.3676974,29.7589382,5.367308511
CostaRica/INC-0079/2020,-85.55069627,11.0090665,1.870611039
CostaRica/INC-0096/2020,-85.55069627,11.0090665,26.33705791
USA/CA-CZB-13272/2020,-121.6846349,37.2333253,98.84105698
USA/OR-OHSU-0165/2020,-122.8575339,45.56614365,51.21975978
USA/LA-EVTL378/2020,-92.1615004,32.4790511,11.06648239
USA/SC-USC-USC00431/2020,-80.9176832,34.0190006,33.79771034
CostaRica/INC-0088/2020,-84.12359624,9.74670635,40.50276576
CostaRica/INC-0063/2020,-84.46749801,10.4624947,29.92852491
CostaRica/INC-0138/2020,-122.3646384,37.9675052,44.35892999
CostaRica/INC-0131/2020,8.2319736,46.7985624,54.43430545
CostaRica/INC-0111/2020,-98.4951405,29.4246002,24.8220605
CostaRica/INC-0176/2020,-84.0594842,9.9084178,41.30143711
CostaRica/INC-0087/2020,-121.890583,37.3361905,25.38668522
CostaRica/INC-0175/2020,-58.4370894,-34.6075682,103.8891406
CostaRica/INC-0184/2020,-84.0594842,9.9084178,29.1334335
CostaRica/INC-0187/2020,-58.4370894,-34.6075682,1
USA/PR-F6B1/2021,-66.613958,18.011564,22.26258744
USA/NY-Wadsworth-21010673-01/2021,-73.7907554,41.1763139,22.50944442
USA/TX-HMH-MCoV-10799/2020,-95.3676974,29.7589382,68.28576523
USA/TX-DSHS-2445/2020,-97.4134281,26.1291189,4.238081592
USA/WI-UW-377/2020,-89.4322174,43.0709273,24.20005264
USA/NY-PRL-2021_02_15_03F01/2021,-74.0060152,40.7127281,1
USA/NY-NYULH97/2021,-73.9598939,40.7896239,14.1290305
