lon	lat
USA/MA1/2020	-71.0582912	42.3602534
USA/AK-PHL011/2020	17.7736243	62.9217072
USA/CT-Yale-375/2020	-75.662956	39.6159851
USA/AZ1/2020	-112.49123	33.34883
USA/WA1/2020	-121.7304882	48.0074736
USA/WA-S90/2020	-118.7671122	45.6416995
Mexico/DUR-InDRE-09/2020	-98.3606472	20.0807903
USA/IL-NM070/2020	-87.6244212	41.8755616
USA/IL-NM069/2020	-87.6244212	41.8755616
USA/PA-MGEL-00210/2020	-79.9760405	40.4597204
USA/SC-DHEC-0001/2020	-78.0395522	39.4535243
USA/TX-HMH-1164/2020	-95.3963667	29.939219
Panama/329593/2020	-79.8740897150963	8.98018465
Panama/333271/2020	-101.365622832485	20.54810825
CostaRica/INC-0223/2021	-40.873577	-3.7357783
CostaRica/INC-0218/2021	-120.2422615	35.9776891
CostaRica/INC-0228/2021	-76.298009	40.1601526
Panama/334102/2020	-78.0233249816648	9.22237675
USA/MO-WUSTL037/2020	-90.2411165602464	38.6529545
Canada/ON-S1900/2020	-79.3839347	43.6534817
Canada/ON-SB-09/2020	-79.3839347	43.6534817
Canada/ON-SB-12/2020	-79.3839347	43.6534817
Canada/ON-SB-11/2020	-79.3839347	43.6534817
Canada/ON-LTRI-1352/2020	-79.3839347	43.6534817
Canada/ON-S2032/2020	-79.3839347	43.6534817
Canada/ON-S2177/2021	-79.3839347	43.6534817
USA/PA-MGEL137/2020	-79.9760405	40.4597204
Canada/ON-S2018/2020	-79.3839347	43.6534817
USA/NJ-MSHSPSP-PV12390/2020	-74.3045277	40.6652251
USA/WI-UW-3112/2021	-89.4322174	43.0709273
USA/NY-NYCPHL-001140/2020	-74.0060152	40.7127281
USA/WI-UW-1099/2020	-89.4322174	43.0709273
USA/NY-Wadsworth-222415-01/2020	-74.0445387688218	42.831851
USA/IA-GMF-16267/2020	-91.850265	42.8420766
USA/IA-GMF-18509/2020	-91.8563139	43.2677179
USA/MO-WUSTL036/2020	-90.2411165602464	38.6529545
USA/AK-PHL6643/2020	-149.680909	64.4459613
USA/NY-NYCPHL-001160/2020	-74.0060152	40.7127281
USA/NY-Wadsworth-10935-01/2020	-73.7907554	41.1763139
USA/NY-NYCPHL-000473/2020	-74.0060152	40.7127281
USA/OR-OHSU-0045/2020	-122.4006413	45.5093799
USA/CT-Yale-275/2020	-72.9330283	41.4082
USA/IL-IDPH-C-000411/2020	-89.3760499	38.0772859
Mexico/SON-InDRE-99/2020	-112.608001143894	30.8974875
USA/CT-MSHSPSP-PV15299/2020	-72.9330283	41.4082
USA/NJ-MSHSPSP-PV21168/2020	-74.0550731	40.7381635
USA/CT-Yale-376/2020	-75.662956	39.6159851
USA/NJ-NYUMC452/2020	-74.0563254	40.9678345
USA/SC-DHEC-1118/2020	-79.3343041	33.4392245
USA/CT-Yale-393/2020	-73.2006687	41.2428742
USA/WI-GMF-07684/2020	-91.0902393	43.8890516
USA/IL-IDPH-I-000987/2020	-88.4605713	42.3294391
USA/OR-OHSU-0382/2020	-122.857533935248	45.56614365
USA/OR-OHSU-0309/2020	-122.857533935248	45.56614365
USA/OR-OHSU-0644/2020	-122.857533935248	45.56614365
USA/IL-NM-1200/2020	-87.6244212	41.8755616
USA/PA-MGEL-00463/2020	-79.9760405	40.4597204
USA/NJ-MSHSPSP-PV17629/2020	-74.0563254	40.9678345
USA/LA-EVTL1842/2020	-93.8931785	32.529173
USA/IL-IDPH-I-000287/2020	-87.756525	41.8197385
USA/PA-MGEL-00473/2020	-79.9760405	40.4597204
USA/CA-CDPH026/2020	-119.7737991	37.1716264
USA/HI-H200151/2020	-157.960511	21.468151
USA/IA-GMF-02699/2020	-91.3961856	43.2961731
USA/IA-GMF-M00005/2020	-91.3961856	43.2961731
USA/TX-HMH-MCoV-8893/2020	-95.3676974	29.7589382
CostaRica/INC-0079/2020	-85.5506962685735	11.0090665
CostaRica/INC-0096/2020	-85.5506962685735	11.0090665
USA/CA-CZB-13272/2020	-121.6846349	37.2333253
USA/OR-OHSU-0165/2020	-122.857533935248	45.56614365
USA/LA-EVTL378/2020	-92.1615004	32.4790511
USA/SC-USC-USC00431/2020	-80.9176832	34.0190006
CostaRica/INC-0088/2020	-84.1235962355571	9.74670635
CostaRica/INC-0063/2020	-84.4674980076129	10.4624947
CostaRica/INC-0138/2020	-122.3646384	37.9675052
CostaRica/INC-0131/2020	8.2319736	46.7985624
CostaRica/INC-0111/2020	-98.4951405	29.4246002
CostaRica/INC-0176/2020	-84.0594842	9.9084178
CostaRica/INC-0087/2020	-121.890583	37.3361905
CostaRica/INC-0175/2020	-58.4370894	-34.6075682
CostaRica/INC-0184/2020	-84.0594842	9.9084178
